Title,Release Date,Developer,Publisher,Genres,Product Rating,User Score,User Ratings Count,console
140,2020-09-01,Jeppe Carlsen,Jeppe Carlsen,2D Platformer,Rated E For Everyone,,,PC
7554,7/20/2012,Emobi Games,Emobi Games,FPS,,7.4,90,PC
10000000,7/25/2012,EightyEight Games LTD,EightyEight Games LTD,RPG,,7.3,29,PC
#DRIVE,2/16/2021,Dariusz Pietrala,PM Studios Inc.,Auto Racing,Rated E For Everyone,6.2,6,Nintendo Switch
#IDARB,1/30/2015,Other Ocean Interactive,Other Ocean Interactive,Party,Rated E For Everyone,6.9,91,Xbox One
#KILLALLZOMBIES,2016-10-08,Beatshapers,Digerati Distribution,Top-Down Shoot-'Em-Up,Rated T For Teen,,,PlayStation 4
.detuned,10/15/2009,.theprodukkt,SCEA,Rhythm,Rated E For Everyone,3.4,32,PlayStation 3
.hack//G.U. Last Recode,2017-03-11,CyberConnect2,Bandai Namco Games,Compilation,Rated T For Teen,8.2,74,PlayStation 4
.hack//G.U. vol. 1//Rebirth,10/24/2006,CyberConnect2,Namco Bandai Games,Action RPG,Rated T For Teen,7.8,32,PlayStation 2
.hack//G.U. vol. 2//Reminisce,2007-08-05,CyberConnect2,Namco Bandai Games,Action RPG,Rated T For Teen,8.1,18,PlayStation 2
.hack//G.U. vol. 3//Redemption,2007-10-09,CyberConnect2,Namco Bandai Games,Action RPG,Rated T For Teen,8.9,23,PlayStation 2
.hack//Infection Part 1,2003-10-02,CyberConnect2,Bandai,Action RPG,Rated T For Teen,7.5,31,PlayStation 2
.hack//Mutation Part 2,2003-06-05,CyberConnect2,Bandai,Action RPG,Rated T For Teen,6,21,PlayStation 2
.hack//Outbreak Part 3,2003-09-09,CyberConnect2,Bandai,Action RPG,Rated T For Teen,7.2,11,PlayStation 2
.hack//Quarantine Part 4,1/14/2004,CyberConnect2,Bandai,Action RPG,Rated T For Teen,6.7,13,PlayStation 2
[I] doesn't exist - a modern text adventure,2023-05-10,LUAL Games KIG,DreadXP,Text Adventure,,5.2,9,PC
0 Day Attack on Earth,12/23/2009,Gulti,Square Enix,Third Person Shooter,Rated E +10 For Everyone +10,5.9,8,Xbox 360
007 Legends,10/16/2012,Eurocom,Activision,FPS,Rated T For Teen,4.5,84,Xbox 360
007 Racing,11/20/2000,Eutechnyx,Electronic Arts,Auto Racing,Rated T For Teen,4.9,20,PlayStation
007: NightFire,11/18/2002,Eurocom,Electronic Arts,FPS,Rated T For Teen,8.3,20,GameCube
007: Quantum of Solace,2008-04-11,Treyarch,Activision,FPS,Rated T For Teen,6.9,67,Xbox 360
007: Quantum of Solace (Nintendo DS),2008-04-11,Vicarious Visions,Activision,Action Adventure,Rated T For Teen,,,DS
007: The World is not Enough,2000-01-11,Eurocom,Electronic Arts,FPS,Rated T For Teen,7.9,51,Nintendo 64
0RBITALIS,5/28/2015,Alan Zucconi,Mastertronic,Action Puzzle,,7.2,5,PC
10 Second Ninja,2014-05-03,GameDesignDan,Mastertronic,2D Platformer,,7.1,17,PC
10 Second Ninja X,7/19/2016,GameDesignDan,Curve Digital,2D Platformer,Rated T For Teen,5.5,23,PC
100 Classic Books,6/14/2010,Genius Sonority Inc.,Nintendo,Application,,6.1,11,DS
100 Rogues,2010-04-05,Fusion Reactions,Fusion Reactions,RPG,,6.2,6,iOS (iPhone)
1000 Heroz,2011-08-06,RedLynx,RedLynx,Arcade Racing,,6.5,11,iOS (iPhone)
1000 Tiny Claws,2011-04-10,Mediatonic,Mediatonic,Action,Rated E +10 For Everyone +10,7.2,11,PSP
1001 Spikes,2014-03-06,Nicalis,Nicalis,2D Platformer,Rated T For Teen,6.5,37,3DS
100ft Robot Golf,9/27/2017,No Goblin,No Goblin,Golf,Rated E +10 For Everyone +10,6.2,20,PlayStation 4
101-in-1 Explosive Megamix,4/21/2009,Nordcurrent,Atlus,Party,Rated E For Everyone,,,Wii
101-in-1 Sports Party Megamix,1/13/2011,Nordcurrent,Atlus,Sports,Rated E +10 For Everyone +10,,,Wii
1080: Avalanche,2003-01-12,Nintendo,Nintendo,Skiing,Rated E For Everyone,7.7,27,GameCube
1080: TenEighty Snowboarding,3/31/1998,Nintendo,Nintendo,Skiing,Rated E For Everyone,,,Nintendo 64
11-11: Memories Retold,2018-09-11,Digixart Entertainment,Bandai Namco Games,Third-Person Adventure,Rated T For Teen,7.5,70,Xbox One
112 Operator,4/23/2020,Jutsu Games,Games Operators,Strategy,,7.2,29,PC
12 is Better Than 6,2019-05-03,Ink Stains Games,HypeTrain Digital,Top-Down Shoot-'Em-Up,Rated M For Mature,6.8,11,PC
1-2-Switch,2017-03-03,Nintendo,Nintendo,Party,Rated E +10 For Everyone +10,4.9,476,Nintendo Switch
13 Sentinels: Aegis Rim,9/22/2020,Vanillaware,Sega,Adventure,Rated T For Teen,9,417,PlayStation 4
1503 A.D. - The New World,3/23/2003,Sunflowers Interactive,Electronic Arts,Real-Time Strategy,Rated T For Teen,6.9,15,PC
1701 A.D.,2006-06-11,Related Designs,Aspyr,Real-Time Strategy,Rated E +10 For Everyone +10,7.8,32,PC
18 Wheeler: American Pro Trucker,2/20/2002,Acclaim Studios Cheltenham,Acclaim,Auto Racing,Rated E For Everyone,4.5,,Dreamcast
187 Ride or Die,8/24/2005,Ubisoft Paris,Ubisoft,Vehicle Combat Sim,Rated M For Mature,,,PlayStation 2
1942: First Strike,2010-01-07,Capcom,Capcom,Vertical Shoot-'Em-Up,,,,iOS (iPhone)
1942: Joint Strike,7/23/2008,Backbone Entertainment,Capcom,Vertical Shoot-'Em-Up,Rated E +10 For Everyone +10,5.9,15,Xbox 360
1950s Lawn Mower Kids,2011-03-11,Zordix,Zordix,Action Puzzle,Rated E For Everyone,,,DS
1954: Alcatraz,2014-11-03,Daedalic Entertainment,Daedalic Entertainment,Point-and-Click,,6.3,44,PC
1979 Revolution: Black Friday,2016-04-04,iNK Stories,iNK Stories,Adventure,,7.5,85,iOS (iPhone)
198X,6/20/2019,Hi-Bit Studios,Hi-Bit Studios,Party,,6.1,27,PlayStation 4
1-bit Ninja,6/23/2011,kode80 LLC,kode80 LLC,2D Platformer,,,,iOS (iPhone)
1nsane,2001-05-02,Invictus,Codemasters,Auto Racing Sim,Rated E For Everyone,7.2,24,PC
2002 FIFA World Cup,4/22/2002,EA Sports,EA Sports,Soccer Sim,Rated E For Everyone,5.4,10,PlayStation 2
2010 FIFA World Cup South Africa,4/27/2010,Electronic Arts,EA Sports,Soccer Sim,Rated E For Everyone,8.4,40,Xbox 360
2014 FIFA World Cup Brazil,4/15/2014,EA Canada,EA Sports,Soccer Sim,Rated E For Everyone,4.9,106,Xbox 360
2064: Read Only Memories,1/17/2017,MidBoss,MidBoss,Point-and-Click,Rated M For Mature,3.4,555,PC
2064: Read Only Memories INTEGRAL,7/26/2018,MidBoss,MidBoss,Point-and-Click,Rated M For Mature,6.5,15,Nintendo Switch
20XX,2018-10-07,Batterystaple Games,Batterystaple Games,2D Platformer,Rated E +10 For Everyone +10,7,19,PlayStation 4
24: The Game,2/28/2006,SCE Studio Cambridge,2K Games,Action Adventure,Rated M For Mature,7.6,27,PlayStation 2
25 to Life,1/17/2006,Avalanche Software,Eidos Interactive,Third Person Shooter,Rated M For Mature,5.1,22,PlayStation 2
2-bit Cowboy,2014-08-05,,,2D Platformer,,,,iOS (iPhone)
2Dark,2017-10-03,Gloomywood,Gloomywood,Action Adventure,Rated M For Mature,7.4,30,PC
2K DRIVE,2013-05-09,2K Sports,2K Sports,Auto Racing Sim,,,,iOS (iPhone)
3 on 3 NHL Arcade,2009-11-02,EA Canada,Electronic Arts,Hockey,Rated E For Everyone,6.8,20,PlayStation 3
300: March to Glory,2/27/2007,Collision Studios,Warner Bros. Interactive Entertainment,3D Beat-'Em-Up,Rated M For Mature,6.1,27,PSP
3000th Duel,2/19/2020,NEOPOPCORN Corp,NEOPOPCORN Corp,2D Platformer,Rated E +10 For Everyone +10,8.4,64,Nintendo Switch
30XX,2023-09-08,Batterystaple Games,Batterystaple Games,2D Platformer,,7.1,7,Nintendo Switch
39 Days to Mars,4/25/2018,It's Anecdotal,It's Anecdotal,Action Puzzle,,5,10,PC
3D After Burner II,1/15/2015,M2,Sega,Aircraft Combat Sim,Rated E +10 For Everyone +10,7.8,22,3DS
3D Dot Game Heroes,2010-11-05,Silicon Studio,Atlus,Action RPG,Rated E +10 For Everyone +10,7.5,82,PlayStation 3
3D Ultra MiniGolf Adventures,4/18/2007,Wanako Studios,Sierra Online,Golf,Rated E For Everyone,5.9,13,PC
428: Shibuya Scramble,2018-04-09,Spike Chunsoft,Spike Chunsoft,Visual Novel,Rated T For Teen,8,39,PC
4PM,2014-09-07,Bojan Brbora,4PM GAME,First-Person Adventure,,4.1,27,PC
4X4 EVO 2,11/15/2001,Terminal Reality,Gathering,Auto Racing Sim,Rated E For Everyone,,,"Xbox
"
4x4 Evolution,10/29/2000,Terminal Reality,Gathering,Auto Racing Sim,Rated E For Everyone,6.8,18,PlayStation 2
50 Cent: Blood on the Sand,2/24/2009,Swordfish Studios,THQ,Third Person Shooter,Rated M For Mature,6.1,55,PlayStation 3
50 Cent: Bulletproof,8/29/2006,High Voltage Software,Vivendi Games,Action Adventure,Rated M For Mature,4.3,8,PlayStation 2
60 Parsecs!,9/18/2018,Robot Gentleman,Robot Gentleman,Adventure,,7.1,27,PC
6th Planet,2/24/2011,Monkube,Monkube,Adventure,,,,iOS (iPhone)
